

|    |Country     |IT Job                    |Statistic |  Value|Currency |
|144 |Finland     |Senior Data Engineer      |STD       |   5991|USD      |
|145 |Finland     |Senior Data Scientist     |MAX       | 162225|USD      |
|146 |Finland     |Senior Data Scientist     |MEAN      | 126498|USD      |
|147 |Finland     |Senior Data Scientist     |MEDIAN    | 126498|USD      |
|148 |Finland     |Senior Data Scientist     |MIN       |  90771|USD      |
|149 |Finland     |Senior Data Scientist     |STD       |  50525|USD      |
|150 |Finland     |Software Engineer         |MAX       |  77250|USD      |
|151 |Finland     |Software Engineer         |MEAN      |  77250|USD      |
|152 |Finland     |Software Engineer         |MEDIAN    |  77250|USD      |
|153 |Finland     |Software Engineer         |MIN       |  77250|USD      |
|154 |France      |Business Analyst          |MAX       | 114510|USD      |
|155 |France      |Business Analyst          |MEAN      |  83593|USD      |
|156 |France      |Business Analyst          |MEDIAN    |  91773|USD      |
|157 |France      |Business Analyst          |MIN       |  44496|USD      |
|158 |France      |Business Analyst          |STD       |  35716|USD      |
|159 |France      |Cloud Engineer            |MAX       | 109147|USD      |
|160 |France      |Cloud Engineer            |MEAN      | 109147|USD      |
|161 |France      |Cloud Engineer            |MEDIAN    | 109147|USD      |
|162 |France      |Cloud Engineer            |MIN       | 109147|USD      |
|163 |France      |Data Analyst              |MAX       | 206000|USD      |
|164 |France      |Data Analyst              |MEAN      |  84022|USD      |
|165 |France      |Data Analyst              |MEDIAN    |  71250|USD      |
|166 |France      |Data Analyst              |MIN       |  46350|USD      |
|167 |France      |Data Analyst              |STD       |  34161|USD      |
|168 |France      |Data Engineer             |MAX       | 256470|USD      |
|169 |France      |Data Engineer             |MEAN      | 119210|USD      |
|170 |France      |Data Engineer             |MEDIAN    | 101250|USD      |
|171 |France      |Data Engineer             |MIN       |  46350|USD      |
|172 |France      |Data Engineer             |STD       |  34718|USD      |
|173 |France      |Data Scientist            |MAX       | 171412|USD      |
|174 |France      |Data Scientist            |MEAN      | 102076|USD      |
|175 |France      |Data Scientist            |MEDIAN    |  90771|USD      |
|176 |France      |Data Scientist            |MIN       |  51912|USD      |
|177 |France      |Data Scientist            |STD       |  40991|USD      |
|178 |France      |Machine Learning Engineer |MAX       | 170980|USD      |
|179 |France      |Machine Learning Engineer |MEAN      |  93857|USD      |
|180 |France      |Machine Learning Engineer |MEDIAN    |  83275|USD      |
|181 |France      |Machine Learning Engineer |MIN       |  58401|USD      |
|182 |France      |Machine Learning Engineer |STD       |  37705|USD      |
|183 |France      |Senior Data Analyst       |MAX       | 161195|USD      |
|184 |France      |Senior Data Analyst       |MEAN      | 107428|USD      |
|185 |France      |Senior Data Analyst       |MEDIAN    | 114510|USD      |
|186 |France      |Senior Data Analyst       |MIN       |  51053|USD      |
|187 |France      |Senior Data Analyst       |STD       |  25504|USD      |
|188 |France      |Senior Data Engineer      |MAX       | 151925|USD      |
|189 |France      |Senior Data Engineer      |MEAN      | 139741|USD      |
|190 |France      |Senior Data Engineer      |MEDIAN    | 151925|USD      |
|191 |France      |Senior Data Engineer      |MIN       |  81576|USD      |
|192 |France      |Senior Data Engineer      |STD       |  25453|USD      |
|193 |France      |Senior Data Scientist     |MAX       | 162225|USD      |
|194 |France      |Senior Data Scientist     |MEAN      | 146569|USD      |
|195 |France      |Senior Data Scientist     |MEDIAN    | 162225|USD      |
|196 |France      |Senior Data Scientist     |MIN       |  91773|USD      |
|197 |France      |Senior Data Scientist     |STD       |  31066|USD      |
|198 |France      |Software Engineer         |MAX       | 202395|USD      |
|199 |France      |Software Engineer         |MEAN      | 131083|USD      |
|200 |France      |Software Engineer         |MEDIAN    | 146775|USD      |
|201 |France      |Software Engineer         |MIN       |  45751|USD      |
|202 |France      |Software Engineer         |STD       |  62859|USD      |
|203 |Germany     |Business Analyst          |MAX       | 129780|USD      |
|204 |Germany     |Business Analyst          |MEAN      |  81917|USD      |
|205 |Germany     |Business Analyst          |MEDIAN    |  91773|USD      |
|206 |Germany     |Business Analyst          |MIN       |  30797|USD      |
|207 |Germany     |Business Analyst          |STD       |  27193|USD      |
|208 |Germany     |Cloud Engineer            |MAX       | 206000|USD      |
|209 |Germany     |Cloud Engineer            |MEAN      | 123195|USD      |
|210 |Germany     |Cloud Engineer            |MEDIAN    |  91773|USD      |
|211 |Germany     |Cloud Engineer            |MIN       |  83275|USD      |
|212 |Germany     |Cloud Engineer            |STD       |  56651|USD      |
|213 |Germany     |Data Analyst              |MAX       | 206000|USD      |
|214 |Germany     |Data Analyst              |MEAN      | 104609|USD      |
|215 |Germany     |Data Analyst              |MEDIAN    | 106862|USD      |
|216 |Germany     |Data Analyst              |MIN       |  52544|USD      |
|217 |Germany     |Data Analyst              |STD       |  41485|USD      |
|218 |Germany     |Data Engineer             |MAX       | 206000|USD      |
|219 |Germany     |Data Engineer             |MEAN      | 134184|USD      |
|220 |Germany     |Data Engineer             |MEDIAN    | 151925|USD      |
|221 |Germany     |Data Engineer             |MIN       |  58401|USD      |
|222 |Germany     |Data Engineer             |STD       |  39982|USD      |
|223 |Germany     |Data Scientist            |MAX       | 197760|USD      |
|224 |Germany     |Data Scientist            |MEAN      | 120778|USD      |
|225 |Germany     |Data Scientist            |MEDIAN    | 135506|USD      |
|226 |Germany     |Data Scientist            |MIN       |  58401|USD      |
