

|Skills        | T6_9| T9_12| T12_15| T15_18| T18_21| T21_24| T24_27|
|mxnet         |   NA|    NA|      1|     NA|     NA|     NA|     NA|
|assembly      |    5|    NA|      1|     NA|     NA|     NA|     NA|
|linux         |    6|    24|     NA|      6|     NA|     NA|     NA|
|sas           |   11|    14|     NA|      1|     NA|     NA|     NA|
|keras         |    2|    13|     NA|      6|      2|     NA|     NA|
|express       |   NA|    10|     NA|     NA|     NA|     NA|     NA|
|vba           |    4|     7|     NA|     NA|     NA|     NA|     NA|
|node.js       |    4|     6|     NA|     NA|     NA|     NA|     NA|
|angular       |    3|     5|     NA|     NA|      1|     NA|     NA|
|css           |    3|     5|     NA|      2|     NA|     NA|     NA|
|powerpoint    |    9|     4|     NA|     NA|     NA|      1|     NA|
|html          |    4|     4|     NA|      2|     NA|     NA|     NA|
|graphql       |    1|     4|     NA|     NA|     NA|     NA|     NA|
|cassandra     |    3|     3|     NA|      2|     NA|     NA|     NA|
|unify         |    3|     3|     NA|      1|     NA|     NA|     NA|
|swift         |    1|     3|     NA|      1|     NA|     NA|     NA|
|ssrs          |    2|     3|     NA|      1|     NA|     NA|     NA|
|sharepoint    |    1|     3|     NA|     NA|     NA|     NA|     NA|
|outlook       |    3|     3|     NA|     NA|     NA|     NA|     NA|
|vue           |   NA|     2|     NA|     NA|      1|     NA|     NA|
|plotly        |    1|     2|     NA|      4|     NA|     NA|     NA|
|atlassian     |    2|     2|     NA|      4|     NA|     NA|     NA|
|perl          |    2|     2|     NA|      2|     NA|     NA|     NA|
|dynamodb      |    1|     2|     NA|      2|     NA|     NA|     NA|
|nltk          |    1|     2|     NA|      1|     NA|     NA|     NA|
|neo4j         |    3|     2|     NA|      1|     NA|     NA|     NA|
|zoom          |    1|     2|     NA|     NA|     NA|     NA|     NA|
|unreal        |    1|     2|     NA|     NA|     NA|     NA|     NA|
|spss          |    1|     2|     NA|     NA|     NA|     NA|     NA|
|sheets        |    3|     2|     NA|     NA|     NA|     NA|     NA|
|pulumi        |    2|     2|     NA|     NA|     NA|     NA|     NA|
|crystal       |   NA|     2|     NA|     NA|     NA|     NA|     NA|
|rust          |   NA|     1|     NA|      1|     NA|     NA|      1|
|opencv        |    3|     1|     NA|      1|     NA|      1|      1|
|ruby          |    5|     1|     NA|      2|     NA|     NA|     NA|
|jquery        |    1|     1|     NA|      2|     NA|     NA|     NA|
|seaborn       |    3|     1|     NA|      1|     NA|     NA|     NA|
|phoenix       |    1|     1|     NA|      1|     NA|     NA|     NA|
|kotlin        |    2|     1|     NA|      1|     NA|     NA|     NA|
|couchdb       |   NA|     1|     NA|      1|     NA|     NA|     NA|
|yarn          |    2|     1|     NA|     NA|     NA|     NA|     NA|
|terminal      |   NA|     1|     NA|     NA|     NA|     NA|     NA|
|spreadsheet   |    1|     1|     NA|     NA|     NA|     NA|     NA|
