index,Country,Job,Skills
85087,Portugal,Data Engineer,aws
204185,Portugal,Data Engineer,aws
244562,Portugal,Data Engineer,aws
300165,Portugal,Data Engineer,aws
329897,Portugal,Data Engineer,aws
373229,Portugal,Data Engineer,aws
380932,Portugal,Data Engineer,aws
476188,Portugal,Data Engineer,aws
576475,Portugal,Data Engineer,aws
741641,Portugal,Data Engineer,aws
749587,Portugal,Data Engineer,aws
755773,Portugal,Data Engineer,aws
782220,Portugal,Data Engineer,aws
8184,Portugal,Data Engineer,airflow
85087,Portugal,Data Engineer,airflow
96124,Portugal,Data Engineer,airflow
185361,Portugal,Data Engineer,airflow
244562,Portugal,Data Engineer,airflow
329897,Portugal,Data Engineer,airflow
458126,Portugal,Data Engineer,airflow
576475,Portugal,Data Engineer,airflow
661785,Portugal,Data Engineer,airflow
688401,Portugal,Data Engineer,airflow
67571,Portugal,Data Analyst,tableau
258945,Portugal,Data Analyst,tableau
590055,Portugal,Data Analyst,tableau
619225,Portugal,Data Analyst,tableau
662096,Portugal,Data Analyst,tableau
755350,Portugal,Data Analyst,tableau
771448,Portugal,Data Analyst,tableau
774491,Portugal,Data Analyst,tableau
67571,Portugal,Data Analyst,sql
175935,Portugal,Data Analyst,sql
258945,Portugal,Data Analyst,sql
300425,Portugal,Data Analyst,sql
