index,Country,Job,Skills
312839,Portugal,Data Analyst,sql
429030,Portugal,Data Analyst,sql
559391,Portugal,Data Analyst,sql
590055,Portugal,Data Analyst,sql
662096,Portugal,Data Analyst,sql
699216,Portugal,Data Analyst,sql
729174,Portugal,Data Analyst,sql
770258,Portugal,Data Analyst,sql
771448,Portugal,Data Analyst,sql
774491,Portugal,Data Analyst,sql
785187,Portugal,Data Analyst,sql
1555,Portugal,Data Analyst,spark
306292,Portugal,Data Analyst,spark
607598,Portugal,Data Analyst,spark
746642,Portugal,Data Analyst,spark
312839,Portugal,Data Analyst,scikit-learn
130193,Portugal,Data Analyst,python
237427,Portugal,Data Analyst,python
258945,Portugal,Data Analyst,python
312839,Portugal,Data Analyst,python
559391,Portugal,Data Analyst,python
662096,Portugal,Data Analyst,python
687143,Portugal,Data Analyst,python
699216,Portugal,Data Analyst,python
746642,Portugal,Data Analyst,python
770258,Portugal,Data Analyst,python
771448,Portugal,Data Analyst,python
774491,Portugal,Data Analyst,python
785187,Portugal,Data Analyst,python
312839,Portugal,Data Analyst,pandas
67571,Portugal,Data Analyst,looker
258945,Portugal,Data Analyst,looker
590055,Portugal,Data Analyst,looker
729174,Portugal,Data Analyst,looker
771448,Portugal,Data Analyst,looker
774491,Portugal,Data Analyst,looker
