Skills,Job,Country,n,mean
git,Data Engineer,Netherlands,5.0,95560.207
git,Machine Learning Engineer,France,5.0,111946.58
excel,Data Analyst,Spain,5.0,81900.45
excel,Data Analyst,Romania,5.0,73943.28799999999
elasticsearch,Data Engineer,France,5.0,138729.464
docker,Data Engineer,Spain,5.0,83739.0
docker,Data Engineer,Portugal,5.0,116415.33799999999
docker,Data Engineer,Poland,5.0,87163.338
docker,Machine Learning Engineer,Greece,5.0,131444.48
docker,Data Engineer,Greece,5.0,81549.838
docker,Machine Learning Engineer,Germany,5.0,149988.6
docker,Senior Data Engineer,France,5.0,151925.0
databricks,Data Engineer,Spain,5.0,104297.8
databricks,Data Engineer,Portugal,5.0,137163.24599999998
c++,Machine Learning Engineer,Poland,5.0,104902.101
azure,Data Scientist,Portugal,5.0,139050.0
azure,Data Engineer,Italy,5.0,115612.144
azure,Data Analyst,Ireland,5.0,118466.89199999999
azure,Machine Learning Engineer,Greece,5.0,123455.8
azure,Machine Learning Engineer,Belgium,5.0,87555.974
aws,Data Engineer,Sweden,5.0,118985.6
aws,Data Analyst,France,5.0,98783.59199999999
aws,Data Analyst,Belgium,5.0,136717.05
airflow,Data Analyst,Poland,5.0,112723.2
airflow,Senior Data Engineer,Germany,5.0,155118.0
airflow,Data Analyst,France,5.0,89915.90999999999
vba,Data Analyst,Poland,4.0,71685.1675
unreal,Machine Learning Engineer,Poland,4.0,94844.7175
terraform,Data Engineer,Italy,4.0,104687.39749999999
terraform,Machine Learning Engineer,Germany,4.0,144740.75
tensorflow,Machine Learning Engineer,Portugal,4.0,137618.68625
tensorflow,Data Scientist,Portugal,4.0,133014.2
tableau,Data Scientist,Portugal,4.0,132735.97125
tableau,Senior Data Analyst,Poland,4.0,116628.1875
tableau,Business Analyst,Poland,4.0,106231.625
tableau,Data Analyst,Italy,4.0,79574.70999999999
tableau,Data Analyst,Hungary,4.0,102813.3125
tableau,Data Analyst,Greece,4.0,82400.0
tableau,Data Scientist,Germany,4.0,92700.0
tableau,Business Analyst,Germany,4.0,93820.125
tableau,Senior Data Analyst,France,4.0,92961.74875
tableau,Data Scientist,Belgium,4.0,126498.41999999998
sql server,Data Engineer,Poland,4.0,139251.6225
sql server,Data Engineer,Belgium,4.0,120799.43
sql,Senior Data Engineer,Sweden,4.0,151925.0
sql,Senior Data Scientist,Spain,4.0,143705.3425
sql,Data Scientist,Romania,4.0,107519.125
sql,Data Analyst,Romania,4.0,73597.105
sql,Software Engineer,Poland,4.0,98377.875
sql,Senior Data Engineer,Poland,4.0,121153.75
sql,Machine Learning Engineer,Netherlands,4.0,119351.25
sql,Data Scientist,Ireland,4.0,135965.02125
sql,Data Scientist,Greece,4.0,117512.31375
sql,Machine Learning Engineer,Germany,4.0,144740.75
sql,Machine Learning Engineer,Belgium,4.0,86501.7175
sql,Data Scientist,Belgium,4.0,126498.41999999998
sql,Business Analyst,Belgium,4.0,83430.0
spark,Data Analyst,Romania,4.0,86575.105
spark,Data Analyst,Portugal,4.0,108864.5625
spark,Data Scientist,Netherlands,4.0,147959.5
spark,Data Engineer,Italy,4.0,125671.33
spark,Senior Data Engineer,Ireland,4.0,139075.75
spark,Cloud Engineer,Germany,4.0,148886.5
spark,Data Engineer,Belgium,4.0,104242.9525
snowflake,Senior Data Engineer,France,4.0,151925.0
scikit-learn,Data Scientist,Portugal,4.0,127323.45000000001
scikit-learn,Data Scientist,Poland,4.0,121427.73
scikit-learn,Machine Learning Engineer,Greece,4.0,114646.4675
scikit-learn,Machine Learning Engineer,Belgium,4.0,86501.7175
scala,Data Engineer,Sweden,4.0,114355.75
scala,Senior Data Engineer,Poland,4.0,83404.25
scala,Data Scientist,Poland,4.0,115362.06
scala,Data Engineer,Italy,4.0,123824.7975
scala,Machine Learning Engineer,Greece,4.0,157155.34
sas,Business Analyst,Sweden,4.0,91773.0
sas,Data Engineer,Spain,4.0,119317.77500000001
sas,Data Analyst,Ireland,4.0,89301.0
sas,Senior Data Scientist,France,4.0,91773.0
sas,Data Scientist,France,4.0,75087.0
sas,Data Analyst,France,4.0,84557.33499999999
sas,Machine Learning Engineer,Belgium,4.0,83430.0
sap,Data Analyst,Poland,4.0,74183.81875
ruby,Software Engineer,Poland,4.0,79757.535
ruby,Data Engineer,Greece,4.0,121849.0
redshift,Senior Data Engineer,Germany,4.0,151925.0
react,Data Engineer,Poland,4.0,125531.25
r,Data Analyst,Poland,4.0,86668.5775
r,Data Scientist,Italy,4.0,111962.2875
r,Data Scientist,Germany,4.0,122163.4075
r,Data Analyst,France,4.0,84998.4325
r,Machine Learning Engineer,Belgium,4.0,86501.7175
pytorch,Machine Learning Engineer,Portugal,4.0,137618.68625
pytorch,Data Scientist,Poland,4.0,132113.97999999998
python,Data Scientist,Sweden,4.0,145016.275
python,Data Analyst,Sweden,4.0,108102.3625
python,Senior Data Engineer,Poland,4.0,86075.2975
python,Cloud Engineer,Poland,4.0,85052.25
python,Machine Learning Engineer,Ireland,4.0,131556.75
python,Data Scientist,Ireland,4.0,89003.45874999999
python,Machine Learning Engineer,Hungary,4.0,119711.75
python,Software Engineer,Greece,4.0,103090.125
python,Senior Data Scientist,Greece,4.0,105259.5625
powerpoint,Data Analyst,Poland,4.0,72671.00625
power bi,Data Engineer,Spain,4.0,139442.43
power bi,Data Analyst,Spain,4.0,81210.0925
power bi,Data Analyst,Greece,4.0,95378.0
power bi,Data Analyst,Germany,4.0,100681.08374999999
power bi,Data Scientist,France,4.0,84434.25
power bi,Data Analyst,Belgium,4.0,86220.785
postgresql,Data Engineer,Poland,4.0,146646.25
postgresql,Data Engineer,Greece,4.0,99137.5
perl,Machine Learning Engineer,Belgium,4.0,86501.7175
pandas,Data Analyst,Spain,4.0,109656.375
pandas,Data Scientist,Netherlands,4.0,165572.5
pandas,Data Analyst,Germany,4.0,111664.875
numpy,Data Scientist,France,4.0,154723.2525
nosql,Data Engineer,Italy,4.0,98045.9575
nosql,Machine Learning Engineer,Belgium,4.0,86501.7175
nosql,Data Analyst,Belgium,4.0,169636.365
nltk,Machine Learning Engineer,Belgium,4.0,86501.7175
mongodb,Data Engineer,Spain,4.0,119317.77500000001
mongodb,Data Engineer,Greece,4.0,151925.0
mongodb,Data Engineer,Germany,4.0,151925.0
mongodb,Senior Data Scientist,France,4.0,162225.0
mongodb,Data Scientist,France,4.0,73574.1875
matplotlib,Data Scientist,France,4.0,144472.95
matlab,Machine Learning Engineer,Belgium,4.0,86501.7175
looker,Data Analyst,Spain,4.0,100489.89
looker,Data Scientist,Poland,4.0,155199.37
looker,Senior Data Analyst,Germany,4.0,114510.25
linux,Machine Learning Engineer,Germany,4.0,131376.5
linux,Machine Learning Engineer,Belgium,4.0,90673.2175
kubernetes,Software Engineer,Poland,4.0,85765.2675
kubernetes,Data Scientist,Poland,4.0,115150.91
kubernetes,Machine Learning Engineer,Greece,4.0,114317.38249999999
kubernetes,Data Engineer,Greece,4.0,71037.2975
keras,Machine Learning Engineer,Greece,4.0,116452.0575
keras,Data Scientist,France,4.0,116903.7125
kafka,Senior Data Engineer,Poland,4.0,96735.7975
kafka,Data Engineer,Poland,4.0,72743.75
kafka,Senior Data Scientist,Germany,4.0,162225.0
kafka,Senior Data Engineer,Germany,4.0,151925.0
kafka,Data Engineer,Germany,4.0,149993.75
jira,Data Engineer,Spain,4.0,84048.0
java,Data Engineer,Netherlands,4.0,121849.0
java,Software Engineer,Greece,4.0,103090.125
java,Senior Data Engineer,France,4.0,134337.75
hadoop,Data Engineer,Spain,4.0,94585.6725
hadoop,Data Scientist,Portugal,4.0,137932.45
hadoop,Data Engineer,Portugal,4.0,125973.3775
hadoop,Data Engineer,Italy,4.0,112781.91
hadoop,Data Scientist,Germany,4.0,162225.0
go,Senior Data Engineer,Germany,4.0,121849.0
go,Data Analyst,Germany,4.0,68550.87749999999
github,Data Analyst,France,4.0,101196.47
git,Data Engineer,Poland,4.0,112257.125
git,Data Analyst,Poland,4.0,100882.0625
git,Data Scientist,Netherlands,4.0,162259.7625
git,Machine Learning Engineer,Germany,4.0,119871.01375
gcp,Data Engineer,Sweden,4.0,110750.75
gcp,Data Scientist,Poland,4.0,133885.58000000002
gcp,Senior Data Engineer,Netherlands,4.0,138947.0
flow,Data Analyst,Greece,4.0,109767.61499999999
flow,Data Analyst,Belgium,4.0,155776.4275
excel,Data Engineer,Netherlands,4.0,100583.3625
excel,Data Analyst,Ireland,4.0,73142.875
excel,Data Scientist,Hungary,4.0,87601.5
excel,Data Analyst,Hungary,4.0,85526.43625
excel,Business Analyst,Germany,4.0,74584.875
excel,Data Scientist,France,4.0,60001.104999999996
docker,Data Engineer,Italy,4.0,95897.3775
docker,Senior Data Scientist,Germany,4.0,162225.0
docker,Machine Learning Engineer,France,4.0,108602.9425
docker,Data Scientist,France,4.0,107137.2525
databricks,Data Engineer,Greece,4.0,97603.83
databricks,Data Engineer,France,4.0,109205.36375
databricks,Data Engineer,Belgium,4.0,104242.9525
cassandra,Machine Learning Engineer,Belgium,4.0,86501.7175
c++,Software Engineer,Poland,4.0,85765.2675
c++,Data Scientist,France,4.0,111631.6575
bigquery,Data Engineer,Portugal,4.0,140407.7975
bigquery,Data Scientist,Poland,4.0,133039.95
bigquery,Senior Data Engineer,France,4.0,151925.0
bigquery,Data Engineer,France,4.0,122589.18375
azure,Senior Data Engineer,Spain,4.0,148392.8725
azure,Machine Learning Engineer,Spain,4.0,133847.72749999998
azure,Data Scientist,Spain,4.0,102217.84375
azure,Data Engineer,Romania,4.0,109054.85500000001
azure,Senior Data Scientist,Poland,4.0,126748.70999999999
azure,Senior Data Engineer,Poland,4.0,97431.0475
azure,Machine Learning Engineer,Poland,4.0,143144.25
azure,Senior Data Engineer,Netherlands,4.0,138947.0
azure,Data Engineer,Hungary,4.0,144905.8075
azure,Data Scientist,Germany,4.0,146563.97875
azure,Cloud Engineer,Germany,4.0,91773.0
azure,Senior Data Engineer,France,4.0,151925.0
aws,Software Engineer,Poland,4.0,79757.535
aws,Senior Data Engineer,Poland,4.0,97431.0475
aws,Senior Data Engineer,Netherlands,4.0,138947.0
aws,Data Engineer,Hungary,4.0,141491.615
aws,Machine Learning Engineer,Greece,4.0,110474.9675
aws,Data Scientist,Germany,4.0,144631.82749999998
aws,Senior Data Engineer,France,4.0,151925.0
aws,Machine Learning Engineer,Belgium,4.0,86501.7175
aws,Data Engineer,Belgium,4.0,100616.58
airflow,Data Engineer,Sweden,4.0,122374.5575
airflow,Senior Data Engineer,Spain,4.0,138560.75
airflow,Data Engineer,Romania,4.0,122775.22750000001
airflow,Data Engineer,Ireland,4.0,138862.7975
airflow,Data Scientist,Germany,4.0,135100.97999999998
word,Data Analyst,Spain,3.0,82940.75
windows,Machine Learning Engineer,Poland,3.0,91773.0
windows,Data Engineer,Poland,3.0,84288.33333333333
windows,Machine Learning Engineer,Germany,3.0,118175.33333333333
vba,Data Analyst,Romania,3.0,75133.00666666667
vba,Data Analyst,France,3.0,114510.25
unreal,Data Analyst,Ireland,3.0,86108.0
unix,Data Engineer,Poland,3.0,93850.16666666667
unix,Machine Learning Engineer,Belgium,3.0,90306.62333333334
terraform,Senior Data Engineer,Poland,3.0,99317.06333333334
terraform,Data Engineer,Poland,3.0,134363.5
terraform,Data Engineer,Greece,3.0,96682.66666666667
tensorflow,Machine Learning Engineer,Ireland,3.0,150380.0
tensorflow,Machine Learning Engineer,Hungary,3.0,140148.66666666666
tensorflow,Data Scientist,Hungary,3.0,102128.79166666667
tensorflow,Software Engineer,Greece,3.0,75087.0
tensorflow,Data Scientist,Greece,3.0,97931.54166666667
tableau,Data Analyst,Sweden,3.0,107249.43666666666
tableau,Data Scientist,Spain,3.0,109437.5
tableau,Senior Data Scientist,Portugal,3.0,126312.33333333333
tableau,Senior Data Scientist,Poland,3.0,162225.0
