country,job,param,aval,parameter
Sweden,Data Analyst,min,46.4,MIN
Sweden,Data Engineer,min,61.8,MIN
Sweden,Data Scientist,min,83.4,MIN
Sweden,Machine Learning Engineer,min,83.3,MIN
Sweden,Senior Data Analyst,min,51.1,MIN
Sweden,Senior Data Engineer,min,151.9,MIN
Sweden,Senior Data Scientist,min,151.9,MIN
Sweden,Software Engineer,min,161.2,MIN
Belgium,Business Analyst,qr1,75.1,QR1
Belgium,Data Analyst,qr1,58.4,QR1
Belgium,Data Engineer,qr1,96.1,QR1
Belgium,Data Scientist,qr1,90.8,QR1
Belgium,Machine Learning Engineer,qr1,75.1,QR1
Belgium,Senior Data Engineer,qr1,91.8,QR1
Belgium,Senior Data Scientist,qr1,75.1,QR1
Belgium,Software Engineer,qr1,53.1,QR1
Denmark,Data Analyst,qr1,75.1,QR1
Denmark,Data Engineer,qr1,112.7,QR1
Denmark,Data Scientist,qr1,96,QR1
Denmark,Machine Learning Engineer,qr1,124.1,QR1
Denmark,Senior Data Engineer,qr1,151.9,QR1
Finland,Data Analyst,qr1,75.1,QR1
Finland,Data Engineer,qr1,91.8,QR1
Finland,Data Scientist,qr1,105.4,QR1
Finland,Machine Learning Engineer,qr1,131.9,QR1
Finland,Senior Data Analyst,qr1,109,QR1
Finland,Senior Data Engineer,qr1,101.8,QR1
Finland,Senior Data Scientist,qr1,108.6,QR1
Finland,Software Engineer,qr1,77.2,QR1
France,Business Analyst,qr1,68.1,QR1
France,Cloud Engineer,qr1,109.1,QR1
France,Data Analyst,qr1,54.6,QR1
France,Data Engineer,qr1,99.7,QR1
France,Data Scientist,qr1,72.1,QR1
France,Machine Learning Engineer,qr1,58.4,QR1
France,Senior Data Analyst,qr1,91.8,QR1
France,Senior Data Engineer,qr1,151.9,QR1
France,Senior Data Scientist,qr1,162.2,QR1
France,Software Engineer,qr1,81.6,QR1
Germany,Business Analyst,qr1,61.6,QR1
Germany,Cloud Engineer,qr1,91.8,QR1
Germany,Data Analyst,qr1,76.5,QR1
Germany,Data Engineer,qr1,100.8,QR1
Germany,Data Scientist,qr1,72.1,QR1
Germany,Machine Learning Engineer,qr1,89.7,QR1
Germany,Senior Data Analyst,qr1,87.5,QR1
Germany,Senior Data Engineer,qr1,91.8,QR1
Germany,Senior Data Scientist,qr1,151.9,QR1
Germany,Software Engineer,qr1,58.4,QR1
Greece,Business Analyst,qr1,64.9,QR1
Greece,Data Analyst,qr1,91.8,QR1
Greece,Data Engineer,qr1,75.1,QR1
Greece,Data Scientist,qr1,90.8,QR1
Greece,Machine Learning Engineer,qr1,91.8,QR1
Greece,Senior Data Engineer,qr1,46.4,QR1
Greece,Senior Data Scientist,qr1,78.9,QR1
Greece,Software Engineer,qr1,62.6,QR1
Hungary,Cloud Engineer,qr1,91.8,QR1
Hungary,Data Analyst,qr1,62.6,QR1
Hungary,Data Engineer,qr1,137.5,QR1
Hungary,Data Scientist,qr1,72.1,QR1
Hungary,Machine Learning Engineer,qr1,58.4,QR1
Hungary,Senior Data Analyst,qr1,89.7,QR1
Hungary,Senior Data Engineer,qr1,151.9,QR1
Hungary,Senior Data Scientist,qr1,91.8,QR1
Hungary,Software Engineer,qr1,58.4,QR1
Ireland,Data Analyst,qr1,83.3,QR1
Ireland,Data Engineer,qr1,100.4,QR1
Ireland,Data Scientist,qr1,91,QR1
Ireland,Machine Learning Engineer,qr1,109.2,QR1
Ireland,Senior Data Analyst,qr1,98.4,QR1
Ireland,Senior Data Engineer,qr1,151.9,QR1
Ireland,Senior Data Scientist,qr1,158.4,QR1
Ireland,Software Engineer,qr1,91.8,QR1
Italy,Business Analyst,qr1,44.5,QR1
Italy,Data Analyst,qr1,53.6,QR1
Italy,Data Engineer,qr1,99.2,QR1
Italy,Data Scientist,qr1,70.8,QR1
Italy,Machine Learning Engineer,qr1,83.4,QR1
Italy,Senior Data Analyst,qr1,103.1,QR1
Italy,Senior Data Scientist,qr1,74.6,QR1
Italy,Software Engineer,qr1,90.9,QR1
Netherlands,Business Analyst,qr1,78.3,QR1
Netherlands,Data Analyst,qr1,75.6,QR1
Netherlands,Data Engineer,qr1,91.8,QR1
Netherlands,Data Scientist,qr1,108.5,QR1
Netherlands,Machine Learning Engineer,qr1,81.2,QR1
Netherlands,Senior Data Analyst,qr1,114.5,QR1
Netherlands,Senior Data Engineer,qr1,151.9,QR1
Netherlands,Senior Data Scientist,qr1,113.5,QR1
Netherlands,Software Engineer,qr1,75.1,QR1
Poland,Business Analyst,qr1,77.1,QR1
Poland,Cloud Engineer,qr1,76.7,QR1
Poland,Data Analyst,qr1,59.2,QR1
Poland,Data Engineer,qr1,93.7,QR1
Poland,Data Scientist,qr1,91.8,QR1
Poland,Machine Learning Engineer,qr1,91.8,QR1
Poland,Senior Data Analyst,qr1,114.5,QR1
Poland,Senior Data Engineer,qr1,89,QR1
Poland,Senior Data Scientist,qr1,93.8,QR1
Poland,Software Engineer,qr1,91.8,QR1
Portugal,Business Analyst,qr1,66.7,QR1
Portugal,Data Analyst,qr1,75.1,QR1
Portugal,Data Engineer,qr1,99.7,QR1
Portugal,Data Scientist,qr1,112.8,QR1
Portugal,Machine Learning Engineer,qr1,93.1,QR1
Portugal,Senior Data Analyst,qr1,114.5,QR1
Portugal,Senior Data Engineer,qr1,91.8,QR1
Portugal,Senior Data Scientist,qr1,99.6,QR1
Portugal,Software Engineer,qr1,91.8,QR1
Romania,Business Analyst,qr1,83.3,QR1
Romania,Cloud Engineer,qr1,58.4,QR1
Romania,Data Analyst,qr1,54.6,QR1
Romania,Data Engineer,qr1,99.8,QR1
Romania,Data Scientist,qr1,83.3,QR1
Romania,Machine Learning Engineer,qr1,131.4,QR1
Romania,Senior Data Analyst,qr1,108.1,QR1
Romania,Senior Data Engineer,qr1,106.8,QR1
Romania,Software Engineer,qr1,77.9,QR1
Spain,Business Analyst,qr1,64.9,QR1
Spain,Cloud Engineer,qr1,75.1,QR1
Spain,Data Analyst,qr1,83.3,QR1
Spain,Data Engineer,qr1,91.8,QR1
Spain,Data Scientist,qr1,74.3,QR1
Spain,Machine Learning Engineer,qr1,91.8,QR1
Spain,Senior Data Analyst,qr1,114.5,QR1
Spain,Senior Data Engineer,qr1,91.8,QR1
Spain,Senior Data Scientist,qr1,118.5,QR1
