country,paramcd,job,aval,avalu,srcdom,paramtyp
Denmark,MAX,Data Engineer,151925,USD,DATA JOBS,
Denmark,MEAN,Data Engineer,125800,USD,DATA JOBS,
Denmark,MEDIAN,Data Engineer,125800,USD,DATA JOBS,
Denmark,MIN,Data Engineer,99676,USD,DATA JOBS,
Denmark,STD,Data Engineer,36945,USD,DATA JOBS,
Denmark,MAX,Data Scientist,171412,USD,DATA JOBS,
Denmark,MEAN,Data Scientist,116342,USD,DATA JOBS,
Denmark,MEDIAN,Data Scientist,112785,USD,DATA JOBS,
Denmark,MIN,Data Scientist,58401,USD,DATA JOBS,
Denmark,STD,Data Scientist,38069,USD,DATA JOBS,
Denmark,MAX,Machine Learning Engineer,170980,USD,DATA JOBS,
Denmark,MEAN,Machine Learning Engineer,139719,USD,DATA JOBS,
Denmark,MEDIAN,Machine Learning Engineer,139719,USD,DATA JOBS,
Denmark,MIN,Machine Learning Engineer,108459,USD,DATA JOBS,
Denmark,STD,Machine Learning Engineer,44209,USD,DATA JOBS,
Denmark,MAX,Senior Data Engineer,151925,USD,DATA JOBS,
Denmark,MEAN,Senior Data Engineer,151925,USD,DATA JOBS,
Denmark,MEDIAN,Senior Data Engineer,151925,USD,DATA JOBS,
Denmark,MIN,Senior Data Engineer,151925,USD,DATA JOBS,
Denmark,STD,Senior Data Engineer,0,USD,DATA JOBS,
Finland,MAX,Data Analyst,169950,USD,DATA JOBS,
Finland,MEAN,Data Analyst,111353,USD,DATA JOBS,
Finland,MEDIAN,Data Analyst,108819,USD,DATA JOBS,
Finland,MIN,Data Analyst,74160,USD,DATA JOBS,
Finland,STD,Data Analyst,40128,USD,DATA JOBS,
Finland,MAX,Data Engineer,101250,USD,DATA JOBS,
Finland,MEAN,Data Engineer,96829,USD,DATA JOBS,
Finland,MEDIAN,Data Engineer,99676,USD,DATA JOBS,
Finland,MIN,Data Engineer,91773,USD,DATA JOBS,
Finland,STD,Data Engineer,4660,USD,DATA JOBS,
Finland,MAX,Data Scientist,162225,USD,DATA JOBS,
Finland,MEAN,Data Scientist,120745,USD,DATA JOBS,
Finland,MEDIAN,Data Scientist,118740,USD,DATA JOBS,
Finland,MIN,Data Scientist,83275,USD,DATA JOBS,
Finland,STD,Data Scientist,32677,USD,DATA JOBS,
Finland,MAX,Machine Learning Engineer,191065,USD,DATA JOBS,
Finland,MEAN,Machine Learning Engineer,149762,USD,DATA JOBS,
Finland,MEDIAN,Machine Learning Engineer,158105,USD,DATA JOBS,
Finland,MIN,Machine Learning Engineer,91773,USD,DATA JOBS,
Finland,STD,Machine Learning Engineer,42970,USD,DATA JOBS,
Finland,MAX,Senior Data Analyst,114538,USD,DATA JOBS,
Finland,MEAN,Senior Data Analyst,110854,USD,DATA JOBS,
Finland,MEDIAN,Senior Data Analyst,114510,USD,DATA JOBS,
Finland,MIN,Senior Data Analyst,103515,USD,DATA JOBS,
Finland,STD,Senior Data Analyst,6356,USD,DATA JOBS,
Finland,MAX,Senior Data Engineer,108150,USD,DATA JOBS,
Finland,MEAN,Senior Data Engineer,103913,USD,DATA JOBS,
Finland,MEDIAN,Senior Data Engineer,103913,USD,DATA JOBS,
Finland,MIN,Senior Data Engineer,99676,USD,DATA JOBS,
Finland,STD,Senior Data Engineer,5991,USD,DATA JOBS,
Finland,MAX,Senior Data Scientist,162225,USD,DATA JOBS,
Finland,MEAN,Senior Data Scientist,126498,USD,DATA JOBS,
Finland,MEDIAN,Senior Data Scientist,126498,USD,DATA JOBS,
Finland,MIN,Senior Data Scientist,90771,USD,DATA JOBS,
Finland,STD,Senior Data Scientist,50525,USD,DATA JOBS,
Finland,MAX,Software Engineer,77250,USD,DATA JOBS,
Finland,MEAN,Software Engineer,77250,USD,DATA JOBS,
Finland,MEDIAN,Software Engineer,77250,USD,DATA JOBS,
Finland,MIN,Software Engineer,77250,USD,DATA JOBS,
France,MAX,Business Analyst,114510,USD,DATA JOBS,
France,MEAN,Business Analyst,83593,USD,DATA JOBS,
France,MEDIAN,Business Analyst,91773,USD,DATA JOBS,
France,MIN,Business Analyst,44496,USD,DATA JOBS,
France,STD,Business Analyst,35716,USD,DATA JOBS,
France,MAX,Cloud Engineer,109147,USD,DATA JOBS,
France,MEAN,Cloud Engineer,109147,USD,DATA JOBS,
France,MEDIAN,Cloud Engineer,109147,USD,DATA JOBS,
France,MIN,Cloud Engineer,109147,USD,DATA JOBS,
France,MAX,Data Analyst,206000,USD,DATA JOBS,
France,MEAN,Data Analyst,84022,USD,DATA JOBS,
France,MEDIAN,Data Analyst,71250,USD,DATA JOBS,
France,MIN,Data Analyst,46350,USD,DATA JOBS,
France,STD,Data Analyst,34161,USD,DATA JOBS,
France,MAX,Data Engineer,256470,USD,DATA JOBS,
France,MEAN,Data Engineer,119210,USD,DATA JOBS,
France,MEDIAN,Data Engineer,101250,USD,DATA JOBS,
France,MIN,Data Engineer,46350,USD,DATA JOBS,
France,STD,Data Engineer,34718,USD,DATA JOBS,
France,MAX,Data Scientist,171412,USD,DATA JOBS,
France,MEAN,Data Scientist,102076,USD,DATA JOBS,
France,MEDIAN,Data Scientist,90771,USD,DATA JOBS,
France,MIN,Data Scientist,51912,USD,DATA JOBS,
France,STD,Data Scientist,40991,USD,DATA JOBS,
France,MAX,Machine Learning Engineer,170980,USD,DATA JOBS,
France,MEAN,Machine Learning Engineer,93857,USD,DATA JOBS,
France,MEDIAN,Machine Learning Engineer,83275,USD,DATA JOBS,
France,MIN,Machine Learning Engineer,58401,USD,DATA JOBS,
France,STD,Machine Learning Engineer,37705,USD,DATA JOBS,
France,MAX,Senior Data Analyst,161195,USD,DATA JOBS,
France,MEAN,Senior Data Analyst,107428,USD,DATA JOBS,
France,MEDIAN,Senior Data Analyst,114510,USD,DATA JOBS,
France,MIN,Senior Data Analyst,51053,USD,DATA JOBS,
France,STD,Senior Data Analyst,25504,USD,DATA JOBS,
France,MAX,Senior Data Engineer,151925,USD,DATA JOBS,
France,MEAN,Senior Data Engineer,139741,USD,DATA JOBS,
France,MEDIAN,Senior Data Engineer,151925,USD,DATA JOBS,
France,MIN,Senior Data Engineer,81576,USD,DATA JOBS,
France,STD,Senior Data Engineer,25453,USD,DATA JOBS,
France,MAX,Senior Data Scientist,162225,USD,DATA JOBS,
France,MEAN,Senior Data Scientist,146569,USD,DATA JOBS,
France,MEDIAN,Senior Data Scientist,162225,USD,DATA JOBS,
France,MIN,Senior Data Scientist,91773,USD,DATA JOBS,
France,STD,Senior Data Scientist,31066,USD,DATA JOBS,
France,MAX,Software Engineer,202395,USD,DATA JOBS,
France,MEAN,Software Engineer,131083,USD,DATA JOBS,
France,MEDIAN,Software Engineer,146775,USD,DATA JOBS,
France,MIN,Software Engineer,45751,USD,DATA JOBS,
France,STD,Software Engineer,62859,USD,DATA JOBS,
Germany,MAX,Business Analyst,129780,USD,DATA JOBS,
Germany,MEAN,Business Analyst,81917,USD,DATA JOBS,
Germany,MEDIAN,Business Analyst,91773,USD,DATA JOBS,
Germany,MIN,Business Analyst,30797,USD,DATA JOBS,
Germany,STD,Business Analyst,27193,USD,DATA JOBS,
