        Country           IT Job Statistic  Value Currency
149     Ireland     Data Analyst      MEAN 106422       NA
150       Italy     Data Analyst      MEAN  76018       NA
151 Netherlands     Data Analyst      MEAN 101226       NA
152      Poland     Data Analyst      MEAN  90130       NA
153    Portugal     Data Analyst      MEAN  96831       NA
154     Romania     Data Analyst      MEAN  76552       NA
155       Spain     Data Analyst      MEAN  94422       NA
156      Sweden     Data Analyst      MEAN 100933       NA
158     Belgium     Data Analyst       MAX 169950       NA
159     Denmark     Data Analyst       MAX  91773       NA
160     Finland     Data Analyst       MAX 169950       NA
161      France     Data Analyst       MAX 206000       NA
162     Germany     Data Analyst       MAX 206000       NA
163      Greece     Data Analyst       MAX 206000       NA
164     Hungary     Data Analyst       MAX 159650       NA
165     Ireland     Data Analyst       MAX 200335       NA
166       Italy     Data Analyst       MAX 114510       NA
167 Netherlands     Data Analyst       MAX 182601       NA
168      Poland     Data Analyst       MAX 169950       NA
169    Portugal     Data Analyst       MAX 169950       NA
170     Romania     Data Analyst       MAX 112393       NA
171       Spain     Data Analyst       MAX 159650       NA
172      Sweden     Data Analyst       MAX 121684       NA
174     Belgium     Data Analyst       STD  46066       NA
175     Denmark     Data Analyst       STD  14924       NA
176     Finland     Data Analyst       STD  40128       NA
177      France     Data Analyst       STD  34161       NA
178     Germany     Data Analyst       STD  41485       NA
179      Greece     Data Analyst       STD  41499       NA
180     Hungary     Data Analyst       STD  32702       NA
181     Ireland     Data Analyst       STD  40409       NA
182       Italy     Data Analyst       STD  27551       NA
183 Netherlands     Data Analyst       STD  34295       NA
184      Poland     Data Analyst       STD  30773       NA
185    Portugal     Data Analyst       STD  31436       NA
186     Romania     Data Analyst       STD  25376       NA
187       Spain     Data Analyst       STD  24423       NA
188      Sweden     Data Analyst       STD  22869       NA
190     Belgium     Data Analyst         N     20       NA
191     Denmark     Data Analyst         N      5       NA
192     Finland     Data Analyst         N      5       NA
193      France     Data Analyst         N     50       NA
194     Germany     Data Analyst         N     48       NA
195      Greece     Data Analyst         N     16       NA
196     Hungary     Data Analyst         N     18       NA
197     Ireland     Data Analyst         N     19       NA
198       Italy     Data Analyst         N     11       NA
199 Netherlands     Data Analyst         N     20       NA
200      Poland     Data Analyst         N     43       NA
201    Portugal     Data Analyst         N     37       NA
202     Romania     Data Analyst         N     12       NA
203       Spain     Data Analyst         N     30       NA
204      Sweden     Data Analyst         N      9       NA
206     Belgium    Data Engineer       MIN  58401       NA
207     Denmark    Data Engineer       MIN  99676       NA
208     Finland    Data Engineer       MIN  91773       NA
209      France    Data Engineer       MIN  46350       NA
210     Germany    Data Engineer       MIN  58401       NA
211      Greece    Data Engineer       MIN  46350       NA
212     Hungary    Data Engineer       MIN  99676       NA
213     Ireland    Data Engineer       MIN  91773       NA
214       Italy    Data Engineer       MIN  91773       NA
215 Netherlands    Data Engineer       MIN  91773       NA
216      Poland    Data Engineer       MIN  46350       NA
217    Portugal    Data Engineer       MIN  83275       NA
218     Romania    Data Engineer       MIN  46350       NA
 [ reached 'max' / getOption("max.print") -- omitted 569 rows ]
